severity,title,frequency,frequency_pct,product_area,top_evidence,signal_confidence,quality_flag
P1,Unstable Bluetooth playback and aggressive auto-play on connect,22,0.84,Device Connectivity,"[""if multiple Bluetooth devices are connected or devices with Spotify are open, Spotify will randomly swap in between which Bluetooth or device the audio is coming from"", ""switching in between and during songs with no user input"", ""Spotify will randomly swap in between which Bluetooth or device the audio is coming from, switching in between and during songs with no user input""]",0.5884,review
P1,Users report poor or degraded audio playback quality,18,0.69,Playback,"[""quality of sound so bad on tablet"", ""Spotify doesn't"", ""The quality of the music is poor compared to elsewhere""]",0.7964,pass
P0,Offline content downloads fail or are unexpectedly deleted,16,0.61,Offline & Downloads,"[""it vanishes again when I open the app"", ""tried to download n says not available in my country."", ""I like in the US""]",0.5802,review
P0,"Android Auto integration fails, blocking playback and navigation",16,0.61,Android Auto,"[""The android auto integration is suddenly not working."", ""you can't select a new album/song without getting the error message \""Sorry, something went wrong.\"""", ""can't play albums on Android Auto""]",0.6059,review
P0,Audio playback fails or routes to incorrect external device,12,0.46,Casting & External Devices,"[""consistently cuts out especially on the TV"", ""yes I've uninstalled reinstalled and cleared cache doesn't matter"", ""still having the same issue with it connecting to smart speakers""]",0.5799,review
P0,"Critical App Stability, Playback, and Core Feature Issues",10,71.43,Core App Experience,"[""App doesn't remember your location in podcasts."", ""it will give you some country song mid metal Playlist"", ""because apparently I want to hear about him and a sister when I'm just trying to listen to slipknot""]",0.5477,review
P0,Premium subscription not activating after successful payment,10,0.38,Payments & Subscriptions,"[""my last support ticket with Spotify was closed without any solution."", ""Without any warning for no reason."", ""i can't get that damn student discount""]",0.5965,review
P1,Users unable to find or receive effective customer support,9,0.34,Customer Support,"[""talked to SIX different incompetent \""advisors\"" who seem to know nothing about fixing any issue"", ""all they did was pass me to another advisor who recommended the same things that i tried and didn't work"", ""they wouldn't even read the chat to understand what the issue is""]",0.5428,review
P1,Unreliable audio playback with autoplay and quality degradation,9,0.34,Media Playback,"[""the audio for my music keeps increasing and decreasing unprompted"", ""the volume randomly spikes or quiets down"", ""they insist on playing video in my pocket when i never select it""]",0.5333,review
P1,User settings and playback progress fail to save persistently,7,0.27,Settings,"[""delaying the FF button"", ""or sorting options"", ""it forget my playback speed and reverts it to default""]",0.5489,review
P0,Payment processing failing for multiple methods and card types,7,0.27,Payments,"[""issue with payment for days"", ""my payments still won't go through via mobile wallet"", ""even though I have more than enough amount in the account""]",0.8863,pass
P0,"Android app is unstable in background, causing crashes and freezes",6,0.23,App Stability,"[""It should not be running in the background without permission"", ""No longer runs in the background."", ""Terminates when the app activity is closed.""]",0.6097,review
P0,Audiobook playback glitches and hour consumption issues,6,0.23,Audiobooks,"[""I get no audiobook hours?"", ""YES I PAY FOR PREMIUM"", ""Spotify took Project Hail Mary the next book I was planning to listen to for free off their website.""]",0.5867,review
P0,Severe performance issues: slow app load and search failures,6,0.23,App Performance,"[""you can't search without it taking another minute"", ""the search function does not work properly"", ""Takes years to just load""]",0.875,pass
P0,Severe performance degradation and data loss with SD card storage,5,0.19,Offline Storage,"[""if you store to SD card it will randomly reset the setting to store on your phone and delete everything stored in your SD card"", ""SD cards take longer to launch than spotify."", ""app has become basically unusable""]",0.8532,pass
P1,Payment failures and subscription activation issues after purchase,5,0.19,Billing & Subscriptions,"[""it frauding people with the subscription plan"", ""l lost 200 rupees in it"", ""SCAM about 3months plan at 99rs""]",0.868,pass
P0,Paid premium subscriptions not recognized after successful payment,5,0.19,Subscriptions & Payments,"[""where my premium duo??"", ""I have paid for my family plan"", ""it just got disappeared after 2 or 3 days""]",0.6004,review
P1,Background music playback stops or starts unexpectedly,5,0.19,Playback,"[""whenever I plug in headphones, closed out of spotify and everything. music starts playing"", ""music starts playing when I try to watch videos on something or do something else on my phone"", ""dont know how to stop it""]",0.9009,pass
P0,Users are being double-charged for subscriptions and purchases,5,0.19,Billing,"[""charging me twice for using the app!"", ""Once at the end of the month; and again a week later."", ""This has been happening for x3months now""]",0.8792,pass
P1,Spotify Connect device discovery and playback control issues,5,0.19,Spotify Connect,"[""App does not see some Spotify connect speakers at home suddenly"", ""attempts to sync with any device currently playing music on the account"", ""interrupts unrelated content on Android""]",0.8318,pass
P1,Unreliable song selection and playlist playback control,5,0.19,Playback,"[""you can't choose the song you want to play after choosing some songs then you have to listen songs recommended by spotify only"", ""if I switch to a different app or turn off the screen and go back to Spotify afterwards, it goes all the way back to the beginning of the playlist"", ""the rest of the playlist doesn't load again""]",0.5902,review
P0,Security vulnerability causing account takeovers and data breaches,5,0.19,Account Security,"[""Constant access to my account."", ""Scammers overtake my account DAILY!"", ""they hacked me again !""]",0.6109,review
P0,Premium subscription linked to critical bugs and feature failures,5,0.19,Premium Subscription,"[""your account WILL get hacked"", ""my account was hijacked by a foreigner"", ""your security measures are weak""]",0.5814,review
P1,External media controls for playback and volume are unresponsive,4,0.15,Playback,"[""after update unable to control volume on samsung smart watch for cellphone"", ""can't play/pause music from the lockscreen"", ""Volume control from phone is not working""]",0.864,pass
P1,Tablet app has severe lag and incorrect song playback,4,0.15,Tablet Experience,"[""music video lags on android Tv"", ""It works fine on mobile"", ""on tablets u cant even pick out what song u wanna listen to FROM UR OWN PLAYLIST""]",0.5905,review
P1,Unexpected sharing and retention of sensitive user data,4,0.15,Privacy,"[""after logging out subscription how do u still have access toy card pin"", ""i can't even walk down the road without it auto joining some strangers' carpool"", ""Why it takes installed apps names?""]",0.5606,review
P1,Xbox playback controls broken and music skips after ads,4,0.15,Console,"[""after a few ads your music SKIPS 30 SECONDS OR THE ENTIRE THING"", ""happened around yesterday"", ""on Xbox I can't see any of the controls at all""]",0.6306,review
P1,"Sleep timer is broken, missing, or interfering with looping",4,0.15,Playback Controls,"[""timer \u23f2\ufe0f disappeared"", ""I can't loop any of my favorite songs anymore"", ""sleep timer is in the way""]",0.5991,review
P0,User data loss or inaccessible after account actions/reinstall,3,0.11,Account & Data,"[""I had an account before but the app was deleted and now I again installed it and it is a new account"", ""I cannot listen to my old playlist and favourites"", ""my streams weren't updated or were deleted randomly""]",0.8718,pass
P0,App crashes or freezes when accessing core features,3,0.11,App Stability,"[""it goes mute and no song is played though I have a premium pack"", ""This is already going on for nearly 2 months"", ""as soon as i purchase premium, i encountered glitches""]",0.5993,review
P1,"Users hitting playback, skip, and song selection limits",3,0.11,Playback,"[""can't listen same song more than once in a day"", ""you can skip only 6 song after that"", ""every day it decides I have a different amount of times I can do this.it literally changes everyday.""]",0.6212,review
P1,"UI is slow, unresponsive, and has layout issues",3,0.11,UI,"[""so many buttons often do not function upon being pressed"", ""Loading the UI seems to take longer and longer with all of the bloatware being crammed in."", ""many interface overlapping each other""]",0.5792,review
P0,App accesses location and uses data without permission,3,0.11,Privacy,"[""stop giving me a tutorial on how to use this app"", ""it's so freaking annoying"", ""IF YOU DON'T FORCE STOP THE APP, IT WILL CONTINUE USING YOUR DATA, EVEN THOUGH YOU'RE NOT USING THE APP.""]",0.6125,review
P1,Player swipe and tap gestures are broken or unresponsive,3,0.11,Player Controls,"[""scrolling through songs by swiping on the photo is nightmare"", ""triple tap to go back is not working with wired earphones"", ""can't swipe left or right without it freaking going up or down.""]",0.8681,pass
P1,Recommendation algorithm ignores 'not interested' user feedback,3,0.11,Recommendations,"[""The recommendation engine is a closed loop of incompetence."", ""It ignores user input, repeats rejected content"", ""No adaptive logic, no refinement, just the same stale tracks fed back.""]",0.5902,review
P2,Screen orientation broken on now playing and ad screens,3,0.11,Player Experience,"[""App keep rotating from landscape to portrait"", ""when any advertisement comes or when opening the song playing page"", ""Doesn't rotate in to landscape in playing screen""]",0.848,pass
P2,Android UI has performance and layout bugs,2,0.08,Android UI,"[""The new UI update is jittery on android"", ""Left panel opens (somehow) but there is no clear way to close it again""]",0.5837,review
P1,Premium users cannot launch the app while offline,2,0.08,Offline Mode,"[""App no longer launches when being offline"", ""a key feature of that isnt working for me anymore"", ""won't the app launch when I'm offline""]",0.9425,pass
P0,Account creation and deletion flows are failing,2,0.08,Account Management,"[""I wanted to make a new account, it just keeps loading on and on and says \""something's wrong\"""", ""I currently deleted my account due to some issues, and I tried to make a new one, but it days I already have an account"", ""I clicked on the log in page and typed in my email and password, it says my email already has an account""]",0.8912,pass
P1,Archived content like replays and playlists intermittently unavailable,2,0.08,Channel Experience,"[""replay now its gone"", ""why can i see some channels previous play lists or podcasts and others not. its swichtes from day to day?""]",0.8219,pass
P1,Spotify playlist content not appearing after transfer or sync,2,0.08,Integrations,"[""all my music playlist, and it's gone"", ""Can't track it down"", ""tried to transfer my YouTube music to Spotify""]",0.6198,review
P2,Artist and song block/hide functionality is inconsistent or missing,2,0.08,User Personalization,"[""They also took away the feature to hide individual songs from artists"", ""so now you have to block the entire artist if you don't want to hear a particular song"", ""even artists I block show up in the playlist headline""]",0.5899,review
P1,Sound capsules are randomly disappearing from user accounts,2,0.08,Content Management,"[""sound capsule issue"", ""Random sound capsule go missing""]",0.4638,review
P1,Users reporting fraudulent or unexpected auto-payments,2,0.08,Payments,"[""no notification for auto payment"", ""auto pay fraud""]",0.8519,pass
P0,App crashes during notification handling or removal,2,0.08,Notifications,"[""crashes when you get notifications"", ""the app will collapse if you remove the notifications""]",0.9283,pass
P2,User language setting is not respected in app/content,2,0.08,Localization,"[""Despite setting content language"", ""the home page shows 90% other language"", ""the app has a different language than the profile???""]",0.865,pass
P1,Incorrect region restriction blocks login and signup,2,0.08,Authentication,"[""when I try to login it says that it doesn't unavailable in my country which is sri lanka"", ""when I try to login it says that it doesn't unavailable in my country"", ""sri lanka""]",0.9234,pass
P1,In-car experience bugs: banners and track skipping,2,0.08,Driving Mode,"[""the stupid like banners that doesn't go away after 30 seconds you have to swipe"", ""unsafe while driving"", ""when I use steering wheel controls to skip a track it skips over a song and plays the track after that so essentially skips two songs""]",0.5998,review
P2,Feed control and content reporting features are non-functional,2,0.08,Feed,"[""The functions that they claim to be present don't work"", ""there isn't a lot of editing to your feed you can do"", ""fix where we can report content that we don't like under the report banner again""]",0.7953,pass
P2,Lock screen media player controls are broken or missing,2,0.08,Lock Screen Controls,"[""lock screen spotify bar no longer has the wee + option to easily add whatever song is playing to the current playlist"", ""every time I'm playing Spotify somewhere other than my phone, I have to activate and deactivate notifications so the lock screen media player can go away"", ""why do I have to do it every.damn.time?""]",0.576,review
P0,Spotify app fails to connect and function on Xiaomi Watch 2,2,0.08,Wearables,"[""Spotify won't connect and work for me"", ""the error still there (Xiaomi watch 2)"", ""the watch app doesn't seem to work correctly.""]",0.5989,review
P1,Messaging fails to send despite good network connection,2,0.08,Messaging,"[""Error on messaging other people"", ""fix the message feutre"", ""even if I have good connection""]",0.822,pass
P2,Jam feature auto-enables without user consent,2,0.08,Jam Feature,"[""No, I don't want to start a \""jam\"". Why is this enabling itself?"", ""jam has lot of delay and lags more often than not"", ""I don't want to start a \""jam\"". Why is this enabling itself?""]",0.5776,review
P1,Album experience degraded by poor audio and organization,2,0.08,Library Management,"[""They censored one of my favorite albums even though its still labeled as explicit and now it sounds like garbage."", ""terrible album organization""]",0.5209,review
P1,Spotify Premium Lite not recognized for Volumio Streamer connection,1,0.04,Connect,"[""it is not connecting"", ""It says I need a Spotify Premium account to connect"", ""Spotify not connecting to Volumio streamer""]",0.63,review
P1,Playback fails for specific music slide content,1,0.04,Playback,"[""fix the issue with the music slide from bandokay i cant play it for some reason"", ""cant play it for some reason""]",0.7,review
P1,Alarm autoplay ignores user preferences and hidden tracks,1,0.04,Alarms,"[""when it finishes start playing completely different kind of \u00e1udio, from prays to complete mundane disgusting songs"", ""Even after flagging the song as inappropriate and hiding from track nothing changes.""]",0.9058,pass
P2,Offline downloads do not use SD card storage,1,0.04,Offline Experience,"[""offline does not work unless you have enough disc space (not SD card space) to store everything""]",0.9,pass
P1,Downloaded songs missing from in-playlist search results,1,0.04,Search,"[""When I search artist's music in my playlist search I can't see all of the artist's songs I downloaded even with premium""]",1.0,pass
P2,Users cannot find background running permission settings,1,0.04,Settings,"[""permissions should be easily accessable"", ""i still havent found how to stop the background running""]",1.0,pass
P1,App becomes unresponsive and disables keyboard on game launch,1,0.04,Gaming,"[""it keeps stopping and disabling my keyboard when I try to go on any games""]",1.0,pass
P1,Alexa voice commands for music playback are failing,1,0.04,Integrations,"[""Alexa started playing radio every time."", ""We cannot listen to the previous song"", ""or start the song again""]",0.9085,pass
P1,User unexpectedly logged out of pricing account,1,0.04,Billing,"[""kikt me out of my pricing acc""]",1.0,pass
P1,Password change link incorrectly redirects to login page,1,0.04,Authentication,"[""I can no longer ... change my password."", ""I tried to email them through their link on the website and it takes me right back to the login page.""]",1.0,pass
P2,Music in status skips multiple times on playback start,1,0.04,Status Updates,"[""Anytime I try to add one to my status."", ""It starts off by skipping about three times and then playing."", ""please address that bug.""]",1.0,pass
P1,Canvas video feature causes app to become unresponsive,1,0.04,Playback,"[""The Canvas video feature has basically broken the app for me, even after turning it off."", ""If a video starts, the playlist stops responding to touch and must restart""]",0.869,pass
P1,Playlist feature is not functional in Kuwait,1,0.04,Playlists,"[""my playlist was not working in Kuwait"", ""this app not supported in Kuwait""]",1.0,pass
P1,Windows app fails to detect speakers or audio devices,1,0.04,Playback,"[""Windows app not seeing speakers at all.""]",1.0,pass
P1,Artist mix generation excludes the seed artist,1,0.04,Playlist Generation,"[""I set up Jefferson Airplane mix"", ""all I get is Stones and Fleetwood Mac"", ""not ONE Jefferson Airplane""]",1.0,pass
P2,Mobile app missing 'free skips with ads' feature,1,0.04,Monetization,"[""free skips with ads but on mobile they're so many restrictions""]",0.9,pass
P2,Desktop app stuck in a non-functional album refresh loop,1,0.04,Albums,"[""it say refrest album ut when i tap it it keeps saying refreshrlly""]",0.9,pass
P2,Equalizer bass frequency cannot be adjusted to negative dB,1,0.04,Audio,"[""not letting my adjust bass frequency in equalizer options"", ""MUST be able to tune my bass \""negative\"" db's""]",0.7,review
P0,App fails to load after upgrading to platinum tier,1,0.04,Billing & Subscriptions,"[""the app doesn't even load on my Z Fold, iPhone, nor iPad""]",1.0,pass
P2,Heart icon for liking/favoriting content is unresponsive,1,0.04,Content Interaction,"[""\ud83d\udc93 icon not working""]",1.0,pass
P1,Users charged unexpected fee on new device login,1,0.04,Billing,"[""i shouldn't have to pay another fee when i login""]",0.9,pass
P1,Content fails to load with generic error after update,1,0.04,Core Experience,"[""everything says \""error can't be loaded\""""]",1.0,pass
P1,Playback fails for idol-specific songs,1,0.04,Playback,"[""I'm not connecting with my idols and don't listening there songs""]",0.9,pass
P2,Time capsule monthly minutes decrease by incorrect amount,1,0.04,Time Capsule,"[""monthly minutes going down by more than 10k minutes in my time capsule""]",0.9,pass
P2,Podcast comments stuck in pending review state,1,0.04,Podcasts,"[""The podcast comment review process is horrible."", ""I have had a comment in review for 19 hours.""]",0.7,review
P2,Unable to disable phone-to-computer auto-connect setting,1,0.04,Settings,"[""auto connect phone to computer settings I can't turn off""]",0.63,review
P1,Audio stutters due to Jam auto-invite feature activating,1,0.04,Social Listening,"[""theres studders in the audio when around large group b3cauae of the auto invite to jam feature"", ""THAT I MANUALLY HAVE TO DISABLE EVERY TIME I OPEN THE APP""]",1.0,pass
P1,Student legacy plans are being automatically cancelled,1,0.04,Billing,"[""they cancelled my plan automatically.""]",1.0,pass
P1,"Playhead invisible, blocking playback control for free users",1,0.04,Playback,"[""Free user cannot move the playhead because playhead is invisible""]",0.8805,pass
P0,"Price increase notification omits tax information, causing confusion",1,0.04,Billing,"[""price increase failure!"", ""failed to mention price increase DIDN'T INCLUDE TAXES"", ""deceptive and dishonest!!!!""]",0.6163,review
P2,Discord status integration not showing YouTube Music activity,1,0.04,Integrations,"[""Youtube music videos don't show up on my discord status.""]",1.0,pass
P1,User-created personalized blends are disappearing from the app,1,0.04,Personalization,"[""All my blends disappeared"", ""All my blends disappeared!!!!????""]",0.9104,pass
P1,Failed to update privacy settings for listing activity,1,0.04,Privacy Settings,"[""unable to turn of listing activity"", ""failed to update setting error"", ""Bad for privacy""]",0.8436,pass
P2,Character limit on app reviews is too restrictive,1,0.04,User Feedback,"[""can't write more (limit)""]",0.63,review
P0,Subscription disappears after switching user accounts,1,0.04,Subscriptions,"[""subscription yesterday when suddenly its gone"", ""its still not there""]",1.0,pass
P0,In-app links to user playlists are serving malware/spyware,1,0.04,Security,"[""links to download somebody else's playlist which is which I caught spyware"", ""caught spyware which I still have now"", ""I still have now""]",0.919,pass
P1,Sound playback fails on Pixel Watch speaker,1,0.04,Wearables,"[""doesn't let me play sound on my pixel jen 1 watch""]",0.9158,pass
P1,User status incorrectly shows as offline after login,1,0.04,Account,"[""when i log in, it is always offline""]",1.0,pass
P2,"Home screen widget becomes unresponsive, requires phone reboot",1,0.04,Widget,"[""the home screen widget would not function""]",0.9,pass
P1,Payments failing with State Bank of India methods,1,0.04,Payments,"[""Can't pay with State Bank of India's Netbanking or Debit card"", ""not being able to subscribe""]",0.9142,pass
P1,Smart Reordering fails to preserve custom transitions,1,0.04,Editor,"[""it doesn't fully 'Keep Custom Transitions'"", ""it still sometimes does its own thing.""]",0.95,pass
P1,Unable to disable public listening feature,1,0.04,Privacy,"[""public listening feature is permanently toggled on cant deactivate it"", ""public listening feature is permanently toggled on"", ""cant deactivate it""]",0.9743,pass
P2,Equalizer settings do not persist after app restart,1,0.04,Audio Playback,"[""glitch where it resets your equilizer settings on mobile after you close Spotify""]",1.0,pass
P2,Users receiving unwanted or irrelevant FOMO marketing notifications,1,0.04,Notifications,"[""No I dont have \""FOMO\"" quit bothering me about it.""]",0.772,pass
P2,Video playback fails when using USB-C audio adapter,1,0.04,Video Player,"[""If you connect from your phone through usb-c to 3.5mm headphone jack, you are locked out of watching video.""]",0.9,pass
P1,Song samples are silent or fail to play,1,0.04,Playback,"[""it doesn't play but now it's muted or doesn't play the song"", ""before it used to play the songs"", ""it doesn't play but now it's muted""]",0.8036,pass
P0,Reported leak of user library and account data,1,0.04,Security,"[""the entire spotify library got leaked"", ""they cant keep your information or cards safe""]",1.0,pass
P1,PS5 application is frequently failing to function correctly,1,0.04,Client App,"[""PS5 app barely ever works as intended""]",0.63,review
P2,Collaborative playlist incorrectly marked as private on Android,1,0.04,Playlists,"[""collaborative playlist isn't accessible to other people"", ""there's an error message saying \""this playlist is private.\"""", ""even tho im not privating it""]",1.0,pass
P1,Spotify Premium Lite plan not recognized for device streaming,1,0.04,Integrations,"[""it is not connecting"", ""It says I need a Spotify Premium account to connect"", ""Spotify not connecting to Volumio streamer""]",0.63,review
P1,Spotify app not working on Chromebook,1,0.04,Client App,"[""experiencing issues with it right now"", ""getting Spotify on my Chromebook has been the issue""]",0.56,review
P2,Sound Capsule feature stuck and not displaying listening days,1,0.04,Personalization,"[""it's been stuck for days"", ""it doesn't show my listening days which it showed previously""]",0.9,pass
P2,Events feature data is stale or incomplete,1,0.04,Events,"[""events\"" feature when it's not updated to keep up with current events"", ""Spotify doesn't seem to know about it""]",0.9,pass
P0,App crashes when accepting price spike agreement,1,0.04,Booking,"[""crashing every time when I try to to accept""]",1.0,pass
P1,Free trial redeemed with points incorrectly requires credit card,1,0.04,Subscription,"[""it required a credit card!"", ""shouldn't be a mandatory thing to use a Credit card."", ""required a credit card!""]",0.8438,pass
P1,App incorrectly detects no Wifi connection on Android/iPad,1,0.04,Connectivity,"[""Not working on Android, saying I'm not connected to Wifi but I definitely am."", ""Also only sometimes works on ipad.""]",0.9,pass
P1,Downloaded content deleted after subscription cancellation,1,0.04,Subscriptions,"[""deleted all the messages I downloaded into my episodes""]",0.9,pass
P1,App UI rendered off-screen due to incorrect TV resolution,1,0.04,Smart TV App,"[""app is opening with higher resolution more then my tv screen"", ""it is not usable app at all""]",1.0,pass
P1,"App spontaneously uninstalls, blocking reinstallation and access",1,0.04,App Infrastructure,"[""The app suddenly disappeared from my phone""]",0.9,pass
P1,Bottom navigation bar overlaps and obstructs screen content,1,0.04,UI/UX,"[""New menu bar blocks 1/5th of screen all the time with no purpose, limiting what I can see printed on Playlists and other screens.""]",0.95,pass
P2,Incorrect subscription renewal date displayed as 1/1/1970,1,0.04,Subscriptions,"[""wrong renew dates- currently says 1/1/1970""]",0.9,pass
P2,Charge amount information is missing from the app,1,0.04,Billing,"[""charge amount- where did it go???""]",0.8,pass
P1,Hulu subscription unexpectedly removed from user accounts,1,0.04,Subscriptions,"[""they took away Hulu from my subscription""]",0.63,review
P2,User perceives decline in overall app quality and stability,1,0.04,Core Experience,"[""quality has been on a steep decline""]",0.49,review
P3,Wrapped feature is missing or not discoverable in UI,1,0.04,Feature Discovery,"[""dov'\u00e8 il mio wrapped""]",0.7,pass
