source_type,title,reach,impact,signal_confidence,confidence_note,effort,rice_score
bug,Alexa voice commands for music playback are failing,1,P1,0.9085,Reflects data quality only — PM completes Confidence column,,
bug,User unexpectedly logged out of pricing account,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Password change link incorrectly redirects to login page,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Music in status skips multiple times on playback start,1,P2,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Canvas video feature causes app to become unresponsive,1,P1,0.869,Reflects data quality only — PM completes Confidence column,,
bug,Playlist feature is not functional in Kuwait,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Windows app fails to detect speakers or audio devices,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Artist mix generation excludes the seed artist,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Mobile app missing 'free skips with ads' feature,1,P2,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Desktop app stuck in a non-functional album refresh loop,1,P2,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Equalizer bass frequency cannot be adjusted to negative dB,1,P2,0.7,Reflects data quality only — PM completes Confidence column,,
bug,App fails to load after upgrading to platinum tier,1,P0,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Heart icon for liking/favoriting content is unresponsive,1,P2,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Users charged unexpected fee on new device login,1,P1,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Content fails to load with generic error after update,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Playback fails for idol-specific songs,1,P1,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Time capsule monthly minutes decrease by incorrect amount,1,P2,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Podcast comments stuck in pending review state,1,P2,0.7,Reflects data quality only — PM completes Confidence column,,
bug,Unable to disable phone-to-computer auto-connect setting,1,P2,0.63,Reflects data quality only — PM completes Confidence column,,
bug,Audio stutters due to Jam auto-invite feature activating,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Student legacy plans are being automatically cancelled,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,"Playhead invisible, blocking playback control for free users",1,P1,0.8805,Reflects data quality only — PM completes Confidence column,,
bug,"Price increase notification omits tax information, causing confusion",1,P0,0.6163,Reflects data quality only — PM completes Confidence column,,
bug,Discord status integration not showing YouTube Music activity,1,P2,1.0,Reflects data quality only — PM completes Confidence column,,
bug,User-created personalized blends are disappearing from the app,1,P1,0.9104,Reflects data quality only — PM completes Confidence column,,
bug,Failed to update privacy settings for listing activity,1,P1,0.8436,Reflects data quality only — PM completes Confidence column,,
bug,Character limit on app reviews is too restrictive,1,P2,0.63,Reflects data quality only — PM completes Confidence column,,
bug,Subscription disappears after switching user accounts,1,P0,1.0,Reflects data quality only — PM completes Confidence column,,
bug,In-app links to user playlists are serving malware/spyware,1,P0,0.919,Reflects data quality only — PM completes Confidence column,,
bug,Sound playback fails on Pixel Watch speaker,1,P1,0.9158,Reflects data quality only — PM completes Confidence column,,
bug,User status incorrectly shows as offline after login,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,"Home screen widget becomes unresponsive, requires phone reboot",1,P2,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Payments failing with State Bank of India methods,1,P1,0.9142,Reflects data quality only — PM completes Confidence column,,
bug,Smart Reordering fails to preserve custom transitions,1,P1,0.95,Reflects data quality only — PM completes Confidence column,,
bug,Unable to disable public listening feature,1,P1,0.9743,Reflects data quality only — PM completes Confidence column,,
bug,Equalizer settings do not persist after app restart,1,P2,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Users receiving unwanted or irrelevant FOMO marketing notifications,1,P2,0.772,Reflects data quality only — PM completes Confidence column,,
bug,Video playback fails when using USB-C audio adapter,1,P2,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Song samples are silent or fail to play,1,P1,0.8036,Reflects data quality only — PM completes Confidence column,,
bug,Reported leak of user library and account data,1,P0,1.0,Reflects data quality only — PM completes Confidence column,,
bug,PS5 application is frequently failing to function correctly,1,P1,0.63,Reflects data quality only — PM completes Confidence column,,
bug,Collaborative playlist incorrectly marked as private on Android,1,P2,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Spotify Premium Lite plan not recognized for device streaming,1,P1,0.63,Reflects data quality only — PM completes Confidence column,,
bug,Spotify app not working on Chromebook,1,P1,0.56,Reflects data quality only — PM completes Confidence column,,
bug,Sound Capsule feature stuck and not displaying listening days,1,P2,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Events feature data is stale or incomplete,1,P2,0.9,Reflects data quality only — PM completes Confidence column,,
bug,App crashes when accepting price spike agreement,1,P0,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Free trial redeemed with points incorrectly requires credit card,1,P1,0.8438,Reflects data quality only — PM completes Confidence column,,
bug,App incorrectly detects no Wifi connection on Android/iPad,1,P1,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Downloaded content deleted after subscription cancellation,1,P1,0.9,Reflects data quality only — PM completes Confidence column,,
bug,App UI rendered off-screen due to incorrect TV resolution,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,"App spontaneously uninstalls, blocking reinstallation and access",1,P1,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Bottom navigation bar overlaps and obstructs screen content,1,P1,0.95,Reflects data quality only — PM completes Confidence column,,
bug,Incorrect subscription renewal date displayed as 1/1/1970,1,P2,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Charge amount information is missing from the app,1,P2,0.8,Reflects data quality only — PM completes Confidence column,,
bug,Hulu subscription unexpectedly removed from user accounts,1,P1,0.63,Reflects data quality only — PM completes Confidence column,,
bug,User perceives decline in overall app quality and stability,1,P2,0.49,Reflects data quality only — PM completes Confidence column,,
bug,Wrapped feature is missing or not discoverable in UI,1,P3,0.7,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2370,Other,0.8507,Reflects data quality only — PM completes Confidence column,,
feature,Reduce ads and restrictions in the free tier,2099,Monetization,0.8427,Reflects data quality only — PM completes Confidence column,,
feature,Improve free tier experience and premium value proposition,73,Monetization,0.8205,Reflects data quality only — PM completes Confidence column,,
feature,"Improve podcast controls, personalization, and ad experience",28,UX,0.8531,Reflects data quality only — PM completes Confidence column,,
feature,Offer more flexible and affordable subscription plans and pricing,26,Monetization,0.8411,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,25,Other,0.804,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,19,Other,0.8334,Reflects data quality only — PM completes Confidence column,,
feature,Improve audiobook access and value in premium subscriptions,16,Monetization,0.8474,Reflects data quality only — PM completes Confidence column,,
feature,Provide offline access and flexible data usage options,15,UX,0.8727,Reflects data quality only — PM completes Confidence column,,
feature,Improve Free Tier & Reduce Monetization Friction,13,Monetization,0.5837,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,13,Other,0.8729,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,12,Other,0.8282,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,12,Other,0.8732,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,7,Other,0.8681,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,5,Other,0.7842,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,5,Other,0.7847,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,5,Other,0.8163,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,4,Other,0.8333,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,4,Other,0.8725,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,4,Other,0.8412,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,3,Other,0.8277,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,3,Other,0.8463,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,3,Other,0.7863,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,3,Other,0.8305,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,3,Other,0.9006,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,3,Other,0.9006,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,3,Other,0.8676,Reflects data quality only — PM completes Confidence column,,
feature,Improve subscription value and pricing options,2,Monetization,0.6442,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8262,Reflects data quality only — PM completes Confidence column,,
feature,Streamline search initiation and restore double-click functionality,2,UX,0.926,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8557,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8086,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.9034,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8955,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8535,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8093,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8041,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.7105,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8633,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.7317,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8049,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8813,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.8993,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,2,Other,0.7897,Reflects data quality only — PM completes Confidence column,,
feature,Add volume normalization setting for Fire Stick app,1,UX,0.9885,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9195,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.8908,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.8579,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.8387,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.8584,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9885,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.8903,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.8,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.8317,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9269,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9933,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.7,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,1.0,Reflects data quality only — PM completes Confidence column,,
feature,Unlabeled,1,Other,0.9,Reflects data quality only — PM completes Confidence column,,
